latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
83.592,-68.87,3844e184,484369,115,36808,455,,B772,PH-BQB,1733664507,NRT,AMS,KL862,KL,0,0,KLM862,KLM
86.877,-16.173,3844ea88,06A122,302,36000,462,,A35K,A7-ANF,1733664507,DOH,LAX,QR739,QR,0,0,QTR8J,QTR
86.322,-4.518,3844ed69,06A12A,314,33992,461,,A35K,A7-ANN,1733664507,DOH,SFO,QR737,QR,0,0,QTR34X,QTR
85.157,11.192,3844f1cb,06A2B8,319,32000,440,,B77W,A7-BET,1733664507,DOH,SEA,QR719,QR,0,0,QTR58V,QTR
84.73,19.918,3844d291,3C4B2F,92,35000,474,,B748,D-ABYO,1733664509,HND,FRA,LH717,LH,0,0,DLH717,DLH
85.798,50.165,3844e89b,89655F,336,36000,458,,A388,A6-EVS,1733664509,DXB,LAX,EK215,EK,0,0,UAE83M,UAE
80.109,-40.702,3844a302,39D2AC,131,39000,473,,A359,F-HUVM,1733664513,KIX,CDG,AF291,AF,0,0,AFR291,AFR
76.663,-1.489,3844cc67,4B1917,166,35000,482,,B77W,HB-JNB,1733664515,NRT,ZRH,LX161,LX,0,0,SWR161,SWR
81.986,27.049,3844ef77,896475,335,36000,453,,A388,A6-EUK,1733664515,DXB,SFO,EK225,EK,0,0,UAE51N,UAE
76.323,31.573,3844e5f3,8004DB,109,37000,497,,B77L,VT-ALG,1733664516,SFO,DEL,AI184,AI,0,0,AIC184,AIC
80.104,36.619,38450ed2,780A28,88,37000,501,,B748,B-LJF,1733664515,JFK,HKG,CX85,CX,0,0,CPA085,CPA
77.658,38.463,38450f66,75855B,78,38000,508,,A359,RP-C3508,1733664517,JFK,MNL,PR127,PR,0,0,PAL127,PAL
79.906,38.603,3844b34e,789213,96,34996,511,,A35K,B-LXA,1733663151,BOS,HKG,CX811,CX,0,0,CPA811,CPA
80.085,49.534,38450cbc,789275,88,37000,513,,A359,B-LQG,1733664515,JFK,HKG,CX843,CX,0,0,CPA843,CPA
77.228,66.053,3844d198,89644C,357,34000,459,,B77W,A6-EPW,1733664519,DXB,SEA,EK229,EK,0,0,UAE229,UAE
80.176,98.421,3844fa57,789216,89,36996,513,,A35K,B-LXD,1733664517,YYZ,HKG,CX829,CX,0,0,CPA829,CPA
70.729,-163.503,38451533,78129F,82,37000,494,,B789,B-1342,1733664521,PEK,YYZ,HU7975,HU,0,0,CHH7975,CHH
75.333,-86.035,3844de3b,406A9D,74,39000,483,,B788,G-ZBJF,1733664523,HND,LHR,BA6,BA,0,0,BAW6,BAW
73.797,-41.077,3844d9d8,7608FA,233,37000,412,,B77L,AP-BGZ,1733664525,LHE,YYZ,PK797,PK,0,0,PIA797,PIA
69.598,-31.79,384541bc,8004DC,50,35000,600,,B77L,VT-ALH,1733664523,YYZ,DEL,AI190,AI,0,0,AIC190,AIC
72.665,-28.181,3844c3fb,34754D,131,39996,495,,A359,EC-OAY,1733664525,NRT,MAD,IB282,IB,0,0,IBE0282,IBE
68.714,16.808,38453a44,346499,43,17600,333,,A20N,EC-NJY,1733664526,MAD,TOS,IB961,IB,0,-2048,IBE09HT,IBE
69.478,18.797,38458f4e,47808D,6,5475,147,,DH8A,LN-WIE,1733664526,TOS,SOJ,WF964,WF,0,-448,WIF4AZ,WIF
69.613,18.872,38456d56,4ACB23,12,1575,151,,B38M,SE-RYC,1733664526,CPH,TOS,D83250,D8,0,-1280,NSZ3250,NOZ
69.679,18.91,3845b384,40792F,284,0,0,,A20N,G-TTNL,1733664525,TOS,LHR,BA613,BA,1,0,BAW9FZ,BAW
69.684,18.912,3845b48c,47C1C6,196,0,1,,BE20,LN-BSJ,1733664527,TOS,,,,1,0,BNOK,INR
69.688,18.915,384595aa,4787FE,14,0,0,,BE20,LN-BSF,1733664519,TOS,,,,1,0,BNOK,INR
69.719,18.943,3845a9ae,4ACB44,12,2850,130,,A20N,SE-RZD,1733664526,TOS,OSL,SK4417,SK,0,2880,SAS4417,SAS
71.01,25.992,3845b45d,478092,271,0,0,,DH8A,LN-WIJ,1733664516,HVG,MEH,WF913,WF,1,1536,WIF5PG,WIF
70.481,29.765,3845a7f5,47808E,152,10975,245,,DH8A,LN-WIF,1733664527,BVG,VDS,WF935,WF,0,0,WIF935,WIF
74.389,43.746,3844e2bd,80153F,126,35000,494,,B77L,VT-AEG,1733664525,SFO,BOM,AI180,AI,0,0,AIC180,AIC
70.317,68.324,38455eb0,151D43,126,0,12,,A21N,RA-73027,1733664529,UFA,BVJ,0E9065,0E,1,0,NWC9065,NWC
64.104,-166.141,3844d9d9,78115F,99,33000,525,,B77W,B-1429,1733664531,PEK,LAX,CA987,CA,0,0,CCA987,CCA
64.644,-164.371,3844f59a,A5277D,247,40000,443,,B744,N431GT,1733664531,JFK,,5Y9811,5Y,0,0,GTI9811,GTI
66.76,-162.949,3844fd03,86951C,231,32000,455,,B77W,JA793A,1733664530,JFK,HND,NH159,NH,0,0,ANA159,ANA
65.113,-162.493,3844fbc2,84118C,243,36000,447,,A35K,JA04WJ,1733664531,JFK,HND,JL3,JL,0,0,JAL3,JAL
62.923,-160.496,384523cf,AA6B9F,70,35000,545,,B772,N77014,1733664531,HND,IAD,UA804,UA,0,64,UAL804,UAL
65.626,-158.475,3844fdc1,71BE22,251,36000,448,,A388,HL7622,1733664531,JFK,ICN,KE86,KE,0,0,KAL086,KAL
66.403,-155.305,3844ff2c,780CB7,249,34025,444,,B748,B-2486,1733664530,JFK,PEK,CA982,CA,0,0,CCA982,CCA
61.281,-151.675,3845afce,A559CC,271,23750,369,,GLF5,N444DH,1733664530,ANC,CAN,,,0,2496,N444DH,KFB
61.266,-150.241,38450311,899018,245,32000,401,,B77W,B-18052,1733664532,JFK,TPE,CI11,CI,0,64,CAL011,CAL
61.354,-145.738,3845163f,,82,45000,510,,GLF5,,1733664531,,,,,0,0,GLF5,
61.32,-137.145,3845779b,4D0140,92,33000,539,,B744,LX-OCV,1733664532,ANC,JFK,CV5487,CV,0,0,CLX68V,CLX
61.308,-136.559,38450934,868DD7,92,35000,533,,B77L,JA772F,1733664532,NRT,ORD,NH8402,NH,0,0,ANA8402,ANA
62.525,-114.977,38452e9b,71C075,283,36000,442,,B77L,HL8075,1733664532,JFK,ANC,KE258,KE,0,0,KAL258,KAL
66.303,-74.627,3844ec24,4BB0EA,246,38000,477,,A359,TC-LGJ,1733664532,IST,LAX,TK179,TK,0,0,THY8MT,THY
64.371,-68.686,3845ad3e,C05768,1,17450,196,,AT43,C-GHCP,1733664531,YFB,YCY,5T816,5T,0,1024,AKT816,AKT
65.517,-65.722,38452b70,AB599B,255,36000,466,,A333,N830NW,1733664532,AMS,SLC,DL57,DL,0,0,DAL57,DAL
64.233,-57.547,38453cdb,485E2F,270,36000,492,,B78X,PH-BKI,1733664529,AMS,LAX,KL601,KL,0,-64,KLM601,KLM
66.084,-57.262,3845136b,7380C2,69,36975,492,,B789,4X-EDC,1733664533,LAX,TLV,LY106,LY,0,0,ELY106,ELY
66.781,-56.874,38453feb,485E2D,282,34000,504,,B78X,PH-BKG,1733664531,AMS,SFO,KL605,KL,0,64,KLM132,KLM
63.796,-53.925,38453b47,4067EE,261,40000,425,,B738,G-TAWK,1733664533,BHX,YYZ,,,0,0,TOM928P,TUI
61.305,-42.378,38454458,3C4B23,284,33996,452,,B748,D-ABYC,1733664534,FRA,SFO,LH454,LH,0,0,DLH454,DLH
