latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
76.968,16.566,3875f013,54FF41,268,60000,303,,SLEI,HOHOHO,1735010871,XMS,XMS,SANTA1,SA,0,0,R3DN053,R3D
80.097,27.413,387631f0,780F3E,78,31000,478,,B77W,B-7365,1735010875,JFK,PVG,MU588,MU,0,0,CES588,CES
79.507,154.68,38759722,780204,225,32000,453,,B77W,B-KPD,1735010879,JFK,HKG,CX831,CX,0,0,CPA831,CPA
76.415,151.79,3875e5d6,789215,223,36000,456,,A35K,B-LXC,1735010879,YYZ,HKG,CX805,CX,0,0,CPA805,CPA
70.503,-160.32,38763a1f,780F39,272,32000,449,,B77W,B-7343,1735010877,YYZ,PVG,MU208,MU,0,0,CES208,CES
71.11,-155.342,38770280,A4B288,278,14825,346,,B734,N401YK,1735010881,SCC,BRW,NC761,NC,0,-2304,NAC761,NAC
68.552,-148.821,3877106d,A6A6B7,185,34575,426,,B738,N528AS,1735010881,SCC,ANC,AS87,AS,0,1088,ASA87,ASA
69.107,-105.12,387719a7,,5,0,0,,BE20,,1735010881,,,,,1,0,BE20,
68.931,-62.295,38764408,4BB0ED,77,37000,500,,A359,TC-LGM,1735010884,LAX,IST,TK180,TK,0,0,THY12E,THY
70.041,-58.213,38764f6f,A1F5FF,86,35000,486,,B77W,N2250U,1735010884,SFO,FRA,UA58,UA,0,0,UAL58,UAL
70.427,-18.56,3875638e,394A18,140,35000,465,,B77W,F-GSQY,1735010884,HND,CDG,AF293,AF,0,0,AFR293,AFR
70.456,-14.928,3875730f,86DCC4,156,40996,455,,B788,JA841J,1735010863,HND,LHR,JL41,JL,0,0,JAL41,JAL
70.409,-14.032,38756a9a,86E800,147,39000,445,,B789,JA875A,1735010882,HND,MXP,NH207,NH,0,0,ANA207,ANA
68.45,73.52,38770716,151E29,238,34000,406,,B738,RA-73257,1735010888,NSK,,Y79110,Y7,0,0,TYA9110,TYA
69.385,85.524,387717e7,151EDD,263,15025,365,,A321,RA-73437,1735010887,NSK,DME,S72582,S7,0,1600,SBI2582,SBI
66.487,-175.267,3875e13b,781FC3,264,34000,457,,B77L,B-223T,1735010891,JFK,PVG,CA1050,CA,0,0,CAO1050,CAO
61.495,-174.747,3875d308,7812BE,233,37000,475,,B789,B-1356,1735010891,JFK,HGH,MF850,MF,0,0,CXA850,CXA
61.502,-165.681,3877180e,ACEBBE,109,2125,134,,C208,N9310F,1735010892,HPB,,,,0,0,N9310F,
61.412,-164.901,3877063f,A38398,291,3400,150,,C208,N3252Y,1735010892,BET,,,,0,0,N3252Y,
62.096,-163.357,3876eb70,A4B155,198,1900,160,,C130,N401LC,1735010854,ANC,KSM,L2401,L2,0,-896,LYC401,LYC
61.781,-163.201,38770cd0,A078EC,136,3700,110,,GA8,N13AV,1735010873,KSM,,,,0,0,N13AV,
64.736,-163.054,3877134c,,249,8300,160,,,,1735010873,KKA,,7S52,7S,0,0,RYA52,
66.89,-162.604,3876cd52,A54C15,272,0,14,,C212,N440RA,1735010891,OTZ,OTZ,,,1,0,N440RA,RYA
66.096,-161.33,38771a6d,A99269,328,5100,153,,C208,N716AT,1735010891,BKC,,,,0,-64,N716AT,
66.8,-161.083,38770ad2,A233D0,89,500,80,,C208,N241BA,1735010854,,,,,0,-576,BRG550,BRG
63.807,-161.065,3876e02d,AA77ED,112,31000,269,,BE20,N774AK,1735010891,OME,ANC,,,0,0,LN774AK,BRG
66.012,-157.956,38770d0b,A697DB,138,39000,437,,B738,N524AS,1735010892,RDB,ANC,AS9691,AS,0,0,ASA9691,ASA
62.904,-155.392,387705c9,A8103E,114,41000,453,,B737,N619AS,1735010892,OME,ANC,AS155,AS,0,0,ASA155,ASA
68.197,-154.097,38770b0d,A69B92,165,39000,432,,B738,N525AS,1735010891,BRW,ANC,AS50,AS,0,0,ASA50,ASA
61.284,-153.627,3876428b,C0173E,269,34000,482,,B77W,C-FIUV,1735010892,YYZ,HND,AC1,AC,0,0,ACA1,ACA
65.729,-152.48,387708e2,AA6D1B,290,28000,272,,PC12,N771DT,1735010891,FAI,OTZ,,,0,0,N771DT,
61.269,-150.299,38770226,A68FF0,231,2875,95,,C172,N52168,1735010892,MRI,,,,0,-320,N52168,
63.979,-148.553,38770874,A83569,15,16300,362,,E75L,N628QX,1735010892,ANC,FAI,AS2408,AS,0,-1152,QXE2408,ASA
61.55,-149.813,38770e65,A64C16,277,2550,72,,C150,N50467,1735010892,PAQ,,,,0,448,N50467,
65.202,-147.968,387713e4,AA46CA,335,10800,174,,C208,N761RV,1735010892,FAI,,,,0,0,N761RV,WRF
61.34,-138.677,3876627a,A826E9,270,38000,473,,B748,N624UP,1735010892,SDF,ANC,5X72,5X,0,64,UPS72,UPS
61.997,-132.785,38768399,89912D,270,33996,449,,B77L,B-16787,1735010891,ORD,ANC,BR659,BR,0,0,EVA659,EVA
63.082,-133.687,38762aef,8694D8,271,34000,458,,B77W,JA791A,1735010891,ORD,HND,NH111,NH,0,0,ANA111,ANA
64.246,-119.524,3876ac17,89655D,16,35000,501,,A388,A6-EVQ,1735010889,SFO,DXB,EK226,EK,0,0,UAE41P,UAE
64.893,-108.403,38770e5a,A4CB56,230,25950,270,,C130,N408LC,1735010891,,,L2408,L2,0,0,LYC408,LYC
64.006,-98.311,3876a32c,3C4B31,56,35000,542,,B748,D-ABYQ,1735010893,SFO,FRA,LH455,LH,0,0,DLH455,DLH
63.009,-97.162,3876e32c,3C5B31,55,35000,507,,A333,D-AFYQ,1735010894,YYC,FRA,4Y77,4Y,0,0,OCN77,OCN
61.295,-93.952,3876a1c4,3965A2,55,35000,487,,B77W,F-GZNC,1735010894,SFO,CDG,AF83,AF,0,0,AFR83M,AFR
61.567,-93.733,38770fd5,,218,11550,251,,AT72,,1735010893,,,,,0,-704,AT72,
66.886,-90.724,3876b4b0,89649F,67,31000,543,,B77W,A6-EQG,1735010891,SEA,DXB,EK230,EK,0,0,UAE93Q,UAE
66.975,-90.11,38768bde,06A12B,59,35000,528,,A35K,A7-ANO,1735010891,SFO,DOH,QR738,QR,0,0,QTR62P,QTR
66.614,-90.049,3876b743,06A07A,2,31000,528,,B77W,A7-BAM,1735010891,SEA,DOH,QR720,QR,0,0,QTR29N,QTR
65.181,-87.515,3875f7f6,407799,213,37996,417,,A35K,G-XWBC,1735010891,LHR,YVR,BA85,BA,0,0,BAW5VY,BAW
66.684,-84.079,3876b0d1,484411,66,36996,494,,A332,PH-AOC,1735010882,YVR,AMS,KL682,KL,0,0,KLM682,KLM
66.308,-83.576,3876ce15,485341,48,37004,490,,B789,PH-BHG,1735010891,YEG,AMS,KL676,KL,0,0,KLM676,KLM
66.095,-79.293,3876918a,AB599B,72,35000,479,,A333,N830NW,1735010893,SLC,AMS,DL56,DL,0,0,DAL56,DAL
67.872,-74.517,3876778a,4841AD,83,37000,533,,B772,PH-BQN,1735010891,SFO,AMS,KL606,KL,0,0,KLM282,KLM
62.353,-71.179,3876654c,485B43,65,37000,482,,B78X,PH-BKC,1735010895,LAX,AMS,KL602,KL,0,-64,KLM602,KLM
67.747,-71.156,387668a1,AA9300,81,35000,509,,B772,N78009,1735010893,SFO,MUC,UA194,UA,0,0,UAL194,UAL
64.174,-69.341,38767b82,,142,10425,249,,BE20,,1735010894,,,,,0,-1408,BE20,
62.784,-67.836,38766b15,A2F200,89,36975,512,,B788,N28912,1735010894,SFO,CDG,UA990,UA,0,-64,UAL990,UAL
