latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
81.575,-53.78,386c0abd,86DCE6,118,39975,480,,B788,JA842J,1734745247,HND,LHR,JL41,JL,0,0,JAL41,JAL
77.76,-15.066,386ca383,780A89,47,31000,516,,B77W,B-KQU,1734745249,JFK,HKG,CX831,CX,0,0,CPA831,CPA
79.888,-2.102,386c68ef,789214,64,35000,508,,A35K,B-LXB,1734745249,YYZ,HKG,CX805,CX,0,0,CPA805,CPA
70.93,-157.403,386d8f07,AA2E27,213,4950,162,,C208,N755RV,1734745257,BRW,ATK,,,0,0,N755RV,
69.301,-153.387,386d67eb,,331,24050,266,,BE20,,1734745255,,,,,0,64,BE20,
69.924,-150.912,386d94f3,A4B155,179,17850,246,,C130,N401LC,1734745257,NUI,ANC,L2401,L2,0,2560,LYC401,LYC
70.31,-150.784,386d85d7,,96,2950,10,,C212,,1734745209,,,,,0,64,C212,
68.562,-106.147,386d9052,,213,22825,208,,AT45,,1734745257,,,,,0,576,AT45,
72.911,-97.19,386cb096,80153B,4,33000,200,,B77L,VT-AEI,1734745258,SFO,DEL,AI174,AI,0,0,AIC174,AIC
71.655,-16.665,386bb98a,873356,143,40996,472,,B789,JA934A,1734745258,HND,MUC,NH217,NH,0,0,ANA217,ANA
70.461,-14.154,386ba741,86EEC2,143,38996,477,,B789,JA892A,1734745258,HND,FRA,NH203,NH,0,0,ANA203,ANA
70.922,-12.478,386b9e58,394A02,154,37000,453,,B77W,F-GSQC,1734745256,HND,CDG,AF279,AF,0,0,AFR279,AFR
71.435,8.655,386baade,48AE00,165,37004,464,,B788,SP-LRA,1734745258,NRT,WAW,LO80,LO,0,0,LOT80,LOT
74.747,41.907,386c5ada,8003E2,126,33000,486,,B77W,VT-ALJ,1734745258,YVR,DEL,AI186,AI,0,0,AIC186,AIC
69.179,90.1,386d34c5,151E2E,278,36000,394,,B737,RA-73262,1734745262,YKS,VKO,R3473,R3,0,0,SYL473,SYL
61.395,-175.077,386c57a6,C023BB,233,34000,520,,B77W,C-FNNU,1734745263,YUL,NRT,AC5,AC,0,0,ACA5,ACA
61.709,-174.249,386c3cc0,71BF83,235,32000,510,,B77W,HL7783,1734745265,YYZ,ICN,KE74,KE,0,0,KAL074,KAL
62.053,-173.24,386c3e2d,71BE38,232,34000,510,,B748,HL7638,1734745249,JFK,ICN,KE82,KE,0,0,KAL082,KAL
62.189,-172.859,386c4a37,86E430,232,38000,508,,B789,JA863J,1734745265,BOS,NRT,JL7,JL,0,64,JAL7,JAL
64.331,-170.024,386cb44c,7805DD,278,34000,490,,B77L,B-2077,1734745248,LAX,PVG,CK222,CK,0,0,CKK222,CKK
63.935,-169.069,386d39c3,A11D1F,63,21000,240,,B190,N171CJ,1734745263,OME,SVA,8E853,8E,0,0,BRG853,BRG
63.905,-167.417,386c1611,71BA04,237,34000,487,,B77W,HL7204,1734745265,IAD,ICN,KE94,KE,0,0,KAL094,KAL
66.073,-166.143,386d95d7,AA3B92,188,4300,140,,C208,N759BA,1734745258,SHH,OME,8E884,8E,0,0,BRG884,BRG
64.514,-165.437,386d6a43,A87428,222,0,20,,B737,N644AS,1734745265,ANC,OME,AS155,AS,1,0,ASA155,ASA
61.422,-164.934,386d819b,A5828E,291,1825,171,,C208,N454SF,1734745266,BET,,,,0,-64,N454SF,
67.633,-164.58,386d8aad,A80522,133,7700,166,,C208,N616BA,1734745265,PHO,OTZ,8E663,8E,0,0,BRG663,BRG
64.709,-164.311,386c6001,869582,241,32000,494,,B77W,JA796A,1734745265,JFK,HND,NH109,NH,0,0,ANA109,ANA
62,-163.379,386d5c8d,A4C74C,154,3500,140,,C208,N407GV,1734745248,BET,,,,0,0,N407GV,
61.983,-163.117,386d94fb,ADC50D,136,1600,90,,C207,N9869M,1734745231,KSM,,,,0,0,N9869M,
61.52,-162.898,386d80fa,A1B157,154,1900,120,,C208,N208SM,1734745209,AUK,,,,0,0,N208SM,
66.648,-162.834,386d9283,A7EED8,208,7900,148,,C208,N610BA,1734745265,OTZ,DRG,8E605,8E,0,896,BRG605,BRG
63.88,-162.663,386d8b8c,ABE8F2,330,10850,180,,C208,N867BA,1734745265,SMK,WBB,8E445,8E,0,0,BRG445,BRG
66.828,-162.48,386d8c01,AB9DAB,333,1325,124,,C208,N848BA,1734745265,BKC,DRG,8E642,8E,0,-512,BRG642,BRG
63.594,-161.938,386d8b58,,48,3500,170,,,,1734745248,SMK,,8E1144,8E,0,0,BRG1144,
65.249,-161.848,386c5f14,840A64,243,38000,481,,A35K,JA02WJ,1734745265,JFK,HND,JL5,JL,0,0,JAL5,JAL
67.189,-161.489,386d7c5d,A4B288,134,37000,438,,B734,N401YK,1734745265,RDB,ANC,NC1781,NC,0,-256,NAC1781,NAC
66.662,-160.833,386d811d,ADE199,108,3725,149,,C208,N994BA,1734745266,OTZ,WLK,8E652,8E,0,0,BRG652,BRG
66.937,-160.787,386d9675,AD3C2F,266,4550,136,,C208,N952BA,1734745265,IAN,OTZ,8E632,8E,0,704,BRG632,BRG
66.887,-160.397,386d5d7b,AC84CC,267,6700,170,,C208,N9055F,1734745265,OTZ,,,,0,0,N9055F,
65.54,-160.386,386c78db,C0103A,245,35975,491,,B789,C-FGDT,1734745265,YYZ,ICN,AC61,AC,0,0,ACA061,ACA
62.083,-159.766,386d726c,A6A645,347,900,110,,C207,N5277J,1734745228,KLG,,,,0,0,N5277J,
66.263,-158.967,386c6241,7812BE,238,35975,476,,B789,B-1356,1734745265,JFK,HGH,MF850,MF,0,-64,CXA850,CXA
66.927,-157.425,386d9608,A233D0,270,6000,136,,C208,N241BA,1734745266,OBU,OTZ,8E622,8E,0,960,BRG622,BRG
