latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
79.684,10.103,3824f386,780D9D,74,29000,501,,B77W,B-2021,1732763017,JFK,PVG,MU588,MU,0,0,CES588,CES
80.026,61.718,382456dd,780A18,90,33950,504,,B77W,B-KPW,1732763017,JFK,HKG,CX831,CX,0,0,CPA831,CPA
70.508,-164.433,3824f656,780D9E,268,32000,393,,B77W,B-2022,1732763021,YYZ,PVG,MU208,MU,0,0,CES208,CES
70.976,-157.633,3825b885,A90AC0,246,3900,158,,C208,N682BB,1732763021,ATK,,,,0,0,N682BB,
71.19,-156.913,3825c6a6,AA1B94,33,950,170,,C208,N750RV,1732763021,AIN,,,,0,-320,N750RV,
70.175,-150.196,382565a8,,110,3000,150,,C208,,1732762995,NUI,,,,0,0,WRF8PC,
70.177,-150.053,3825b8a6,A2ECFB,95,2350,155,,C208,N288PC,1732763023,SCC,,,,0,0,N288PC,
70.197,-148.474,3825cf80,A7F9F4,264,0,0,,B737,N613AS,1732763018,SCC,ANC,AS87,AS,1,0,ASA87,ASA
69.959,-127.797,3824a14b,780C5D,290,31996,501,,B77L,B-2093,1732763019,JFK,PVG,CA1050,CA,0,0,CAO1050,CAO
68.566,-69.173,38250669,4CC50E,78,35000,498,,B38M,TF-ICE,1732763024,SEA,KEF,FI680,FI,0,0,ICE680,ICE
70.007,-59.105,38253633,3C64C6,88,33000,522,,A343,D-AIFF,1732763024,YVR,FRA,LH493,LH,0,-64,DLH493,DLH
68.949,-62.317,382534c3,3C64EC,85,36004,512,,A343,D-AIGL,1732763024,SEA,FRA,LH491,LH,0,0,DLH491,DLH
72.194,-17.078,382431d1,86DA40,151,39996,488,,B788,JA839J,1732763026,HND,LHR,JL41,JL,0,0,JAL41,JAL
73.487,48.254,3824785f,80153F,126,35000,531,,B77L,VT-AEG,1732763028,SFO,DEL,AI174,AI,0,0,AIC174,AIC
69.279,84.422,3825cd70,151E8F,264,27025,365,,B738,RA-73359,1732763028,NSK,DME,S72582,S7,0,1152,SBI2582,SBI
70.82,86.121,38257e88,151D90,274,34000,391,,B738,RA-73104,1732763028,YKS,SVO,SU1751,SU,0,-64,AFL1751,AFL
65.494,-176.454,3824c5cf,781E2B,271,30000,440,,B77L,B-222J,1732763030,ORD,PVG,CK228,CK,0,0,CKK228,CKK
64.349,-170.109,3824e97a,7805DC,276,34000,424,,B77L,B-2076,1732763027,LAX,PVG,CK222,CK,0,0,CKK222,CKK
63.732,-168.029,3824e795,868DD7,236,36000,425,,B77L,JA772F,1732763032,ORD,NRT,NH8401,NH,0,0,ANA8401,ANA
64.51,-165.519,3825d1d3,A37221,201,675,113,,C208,N321BA,1732763031,OME,,8E2842,8E,0,1216,BRG2842,BRG
61.425,-164.973,3825bfc2,A38398,291,1375,154,,C208,N3252Y,1732763031,BET,,,,0,0,N3252Y,
61.273,-164.497,3825c0d7,A1B157,290,4100,155,,C208,N208SM,1732763032,BET,,,,0,-64,N208SM,
64.325,-163.976,3825cba7,A726FB,106,20525,433,,B738,N560AS,1732763030,OME,ANC,AS155,AS,0,1920,ASA155,ASA
67.308,-163.736,3825c23a,A50AAE,136,5400,160,,C212,N424CA,1732763025,PHO,,,,0,0,N424CA,
66.983,-163.213,3825ca89,AA6D1B,137,4500,131,,PC12,N771DT,1732763031,,,,,0,-704,N771DT,
61.513,-162.731,3825cdeb,A0F0E8,335,4500,140,,PA31,N16SC,1732762966,,,,,0,0,N16SC,
61.264,-162.361,3825c6cb,ACEBBE,331,2300,128,,C208,N9310F,1732763031,BET,,,,0,0,N9310F,
66.904,-162.347,38258ecc,A964E2,267,1650,151,,C208,N704RA,1732763029,OTZ,,7S704,7S,0,-576,RYA704,RYA
61.389,-162.048,3824e373,ABC201,239,32000,474,,B748,N857GT,1732763032,CVG,NRT,PO751,PO,0,0,PAC751,DHK
63.707,-161.485,3825ce73,A3E067,65,1600,140,,C212,N349TA,1732763031,SMK,,,,0,0,N349TA,BRG
61.609,-159.963,3825c763,AD6782,31,4200,170,,MD83,N963CE,1732763032,BET,ANI,5V872,5V,0,-1024,VTS872,VTS
66.406,-159.004,3825b6eb,,137,28000,397,,C441,,1732763032,,,,,0,320,C441,
62.879,-155.354,3824dcfd,781940,121,33000,546,,B77L,B-20EM,1732763032,TAO,YVR,CZ421,CZ,0,0,CSN421,CSN
67.129,-153.454,3825c058,A7E151,165,37000,487,,B737,N607AS,1732763032,BRW,ANC,AS50,AS,0,0,ASA50,ASA
61.304,-151.794,3825c993,A7A1A0,258,26200,455,,MD11,N591FE,1732763033,ANC,KIX,FX9027,FX,0,1472,FDX9027,FDX
61.587,-151.187,3825bee1,A83152,125,8825,216,,PA31,N627MA,1732763032,MCG,,,,0,-896,N627MA,
61.255,-150.665,3825c91a,A9876E,273,12400,365,,B744,N713CK,1732763032,ANC,ICN,K4818,K4,0,1728,CKS818,CKS
62.011,-150.555,3825c60f,AB4B8D,338,37025,303,,PC24,N827HB,1732763033,ANC,AIN,,,0,1152,N827HB,
61.233,-150.312,3825bf8b,A525D2,203,2275,120,,P28R,N4302X,1732763032,MRI,,,,0,0,N4302X,
61.378,-150.063,3825c55c,A68FF0,301,2550,104,,C172,N52168,1732763033,MRI,,,,0,-768,N52168,
61.299,-150.018,3825cbc1,A8A0C1,13,4675,235,,E75L,N655QX,1732763033,ANC,FAI,AS2408,AS,0,3072,QXE2408,ASA
61.573,-149.962,3825a63b,AAC111,286,2200,97,,C172,N792SP,1732763033,MRI,,,,0,-384,N792SP,
61.486,-149.879,3825ae08,ADA01C,115,2300,78,,C172,N97705,1732763033,MRI,,,,0,-128,N97705,
61.517,-149.717,3825c9e8,A4DB98,25,1000,80,,,N412AK,1732762995,ANC,,,,0,64,N412AK,
63.279,-148.838,3825c40e,,195,25075,284,,BE20,,1732763031,,,,,0,64,BE20,
64.815,-147.858,38259a51,A7BAAF,129,0,15,,PA31,N59764,1732763032,FAI,FAI,4W764,4W,1,0,WAV764,WAV
67.656,-144.733,38249e0b,71BE33,257,32000,471,,B748,HL7633,1732763033,JFK,ICN,KE82,KE,0,64,KAL082,KAL
66.414,-144.314,3825ce95,A1AFF2,225,8468,142,,C208,N208CE,1732763030,CIK,FAI,,,0,0,N208CE,VTS
62.516,-142.946,38250170,71C005,237,34000,460,,B77L,HL8005,1732763035,YHZ,ANC,KE8258,KE,0,0,KAL8258,KAL
67.883,-141.758,382523c1,71C006,260,30750,470,,B77W,HL8006,1732763030,ORD,ICN,KE38,KE,0,0,KAL038,KAL
61.624,-140.779,3825120b,A82E57,273,38000,467,,B748,N626UP,1732763032,SDF,ANC,5X72,5X,0,0,UPS72,UPS
61.706,-139.887,3825221d,A2B196,262,36000,429,,B38M,N27290,1732763033,ORD,ANC,UA450,UA,0,-64,UAL450,UAL
61.938,-135.113,38252707,A771A8,266,38000,463,,B744,N579UP,1732763031,SDF,ANC,5X94,5X,0,0,UPS94,UPS
62.245,-134.563,38253825,A5C99E,273,36000,470,,B744,N472MC,1732763031,ORD,ANC,5Y8941,5Y,0,-64,GTI8941,GTI
61.506,-134.204,38254850,A67805,273,34000,427,,A21N,N516DA,1732763031,MSP,ANC,DL377,DL,0,-64,DAL377,DAL
67.467,-126.828,3825110b,8695C6,295,32000,515,,B77W,JA798A,1732763034,ORD,HND,NH111,NH,0,64,ANA111,ANA
64.25,-121.427,38254bf6,780C5C,297,32000,469,,B77L,B-2092,1732763030,ORD,PVG,CAO1056,CA,0,0,CAO1056,CAO
65.707,-113.017,38253562,A54535,297,36000,471,,B744,N439GT,1732763033,JFK,,5Y8253,5Y,0,0,GTI8253,GTI
64.06,-112.121,38253883,AA6B9D,299,34000,487,,B772,N77012,1732763031,IAD,HND,UA803,UA,0,0,UAL803,UAL
