latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
88.988,87.369,3819ec24,461F5A,245,38996,487,,A359,OH-LWS,1732490591,ICN,HEL,AY42,AY,0,0,FIN42,FIN
80.046,-98.321,381a24ae,86E800,81,37000,503,,B789,JA875A,1732490600,HND,MUC,NH217,NH,0,-64,ANA217,ANA
76.202,-94.052,381a91c5,80153B,5,33000,504,,B77L,VT-AEI,1732490601,SFO,DEL,AI174,AI,0,0,AIC174,AIC
78.263,-62.373,3819ec00,394A06,117,35000,489,,B77W,F-GSQG,1732490601,HND,CDG,AF279,AF,0,0,AFR279,AFR
79.158,-49.052,3819f738,873356,118,37008,505,,B789,JA934A,1732490599,HND,FRA,NH203,NH,0,0,ANA203,ANA
75.706,-47.156,381aa386,800C3E,49,31000,551,,B77W,VT-ALX,1732490599,YVR,DEL,AI186,AI,0,0,AIC186,AIC
82.745,33.477,3819f378,461F4F,178,39000,465,,A359,OH-LWH,1732490604,NRT,HEL,AY74,AY,0,0,FIN74,FIN
70.381,-160.309,381b5b28,A0AFCA,236,8525,177,,C208,N143WA,1732490609,BRW,PIZ,,,0,0,N143WA,WRF
74.482,-154.082,381a60b2,86D9FC,33,39000,520,,B788,JA837J,1732490610,HND,LHR,JL41,JL,0,-64,JAL41,JAL
71.876,-101.566,381a466c,C2C36D,204,36000,453,,A332,330003,1732490608,RIX,YEG,CFC4473,CF,0,0,CFC4473,CFC
72.676,-79.607,381ae3c2,C2B3D7,36,30975,482,,C17,177701,1732489511,YEG,RIX,CFC4086,CF,0,0,CFC4086,CFC
72.839,-56.197,381ac97f,78926A,24,35000,538,,A35K,B-LXQ,1732490612,YYZ,HKG,CX805,CX,0,0,CPA805,CPA
69.934,-8.036,381a7cfd,507C50,77,37004,489,,B788,UK78703,1732490610,JFK,TAS,HY102,HY,0,0,UZB102,UZB
73.899,1.393,381a6731,8004DD,95,33004,511,,B77W,VT-ALO,1732490612,ORD,DEL,AI126,AI,0,0,AIC126,AIC
69.684,18.912,381b6f87,478891,180,0,0,,BE20,LN-BSA,1732490613,TOS,,,,1,0,BNOL,INR
68.992,19.113,381aff6e,47A185,286,6175,172,,B738,LN-ENT,1732490612,OSL,BDU,DY338,DY,0,-1280,NOZ8PW,NOZ
69.779,19.185,381b5620,478099,242,3375,199,,DH8A,LN-WIR,1732490614,HFT,TOS,WF919,WF,0,-1792,WIF919,WIF
74.951,23.551,3819ca4c,461F57,174,38975,491,,A359,OH-LWP,1732490613,HND,HEL,AY62,AY,0,-64,FIN62,FIN
69.872,26.863,381b6acd,4780BA,96,17000,289,,DH8C,LN-WFS,1732490614,LKL,KKN,WF998,WF,0,0,WIF21M,WIF
64.428,-165.889,381b6d2d,AA77ED,262,11725,148,,BE20,N774AK,1732490617,OME,GAM,8E2861,8E,0,1664,BRG2861,BRG
64.547,-165.678,381b62e9,A80522,108,2325,162,,C208,N616BA,1732490618,OME,KTS,8E874,8E,0,-896,BRG874,BRG
64.646,-164.812,381b559a,A0C202,202,9675,234,,B190,N148SK,1732490589,OTZ,OME,8E702,8E,0,-1728,BRG702,BRG
64.438,-164.747,381b6d34,AA3B92,103,9525,148,,C208,N759BA,1732490617,OME,SMK,8E846,8E,0,832,BRG846,BRG
64.541,-163.813,381b6f15,A8FD41,259,6325,152,,C208,N679BA,1732490617,,,8E2815,8E,0,0,BRG2815,BRG
63.671,-163.783,381a6d77,7807BB,286,32000,460,,B77L,B-2080,1732490617,LAX,PVG,CZ446,CZ,0,0,CSN446,CSN
67.239,-162.782,381b691f,ADE907,347,3350,154,,C208,N996BA,1732490584,OTZ,WTK,8E682,8E,0,-576,BRG682,BRG
66.246,-161.329,381b6651,A233D0,238,6300,152,,C208,N241BA,1732490617,WLK,OTZ,8E533,8E,0,0,BRG533,BRG
66.89,-160.326,381b6381,A4BB97,340,2625,164,,C208,N404BA,1732490617,WLK,,8E501,8E,0,-768,BRG501,BRG
66.597,-159.993,381b5109,A7EED8,61,0,4,,C208,N610BA,1732490619,OTZ,WLK,8E532,8E,1,0,BRG532,BRG
65.928,-158.346,381b40e9,A4B288,137,37025,430,,B734,N401YK,1732490617,RDB,ANC,NC1781,NC,0,0,NAC1781,NAC
64.772,-156.944,381b4e5c,AA6D1B,135,27000,239,,PC12,N771DT,1732490617,OTZ,ANC,,,0,0,N771DT,
61.817,-154.96,381aa0e4,7BC009,296,36000,441,,B744,B-2409,1732490616,LAX,SHE,CAO8442,CA,0,0,CAO8442,CAO
62.034,-153.043,381b3e8b,A38590,119,27000,290,,BE20,N326KW,1732490616,OME,ANC,,,0,0,N326KW,BRG
64.798,-151.127,381b54f2,,271,12075,126,,C208,,1732490619,,,,,0,0,C208,
61.4,-150.661,381b5c7b,A48D9C,222,400,86,,PA18,N3927Z,1732490617,ANC,,,,0,-128,N3927Z,
61.275,-150.339,381b69e9,A9CE0F,93,500,121,,C207,N73047,1732490616,,,,,0,384,N73047,
61.782,-150.25,381b6730,,324,350,74,,C170,,1732490617,,,,,0,192,C170,
61.365,-150.144,381b6841,A69B92,8,5825,302,,B738,N525AS,1732490617,ANC,BRW,AS51,AS,0,3200,ASA51,ASA
61.478,-149.954,381b5a16,A7066E,192,2400,77,,C172,N55169,1732490617,MRI,,,,0,-192,N55169,
61.515,-149.909,381b6538,A1555D,268,1200,103,,C185,N185XS,1732490617,ANC,,,,0,192,N185XS,
61.222,-149.777,381b6b8e,A682B3,94,1400,104,,C172,N51883,1732490617,MRI,,,,0,0,N51883,
61.313,-149.572,381b623f,AA352E,193,1675,87,,C152,N757MS,1732490616,MRI,,,,0,64,N757MS,
61.5,-149.333,381b66b5,ABEF1D,25,2000,70,,C172,N8681U,1732490600,PAQ,,,,0,0,N8681U,
61.519,-149.247,381b6de2,A84B83,122,3975,96,,C172,N6332D,1732490617,PAQ,,,,0,128,N6332D,
61.574,-149.167,381b62de,A28A9D,355,4825,103,,RV9,N263EY,1732490617,PAQ,,,,0,-192,N263EY,
63.242,-149.011,381b5f71,A87CF9,15,28000,462,,E75L,N646QX,1732490617,ANC,FAI,AS2019,AS,0,-64,QXE2019,ASA
