latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
76.162,5.096,3859dad0,800583,267,34000,462,,B77W,VT-ALT,1734236883,DEL,IAD,AI103,AI,0,0,AIC103,AIC
75.777,31.489,3859fa47,8004DF,309,32000,474,,B77W,VT-ALQ,1734236885,DEL,ORD,AI127,AI,0,0,AIC127,AIC
70.414,-178.336,385a01a2,789269,265,36000,502,,A35K,B-LXP,1734236890,ORD,HKG,CX807,CX,0,0,CPA807,CPA
71.882,-171.348,385a0250,781E8A,259,30000,490,,B77L,B-222N,1734236890,ORD,PVG,CK228,CK,0,0,CKK228,CKK
70.975,-157.477,385aae2e,A0AFCA,237,4000,173,,C208,N143WA,1734236891,BRW,AIN,,,0,0,N143WA,WRF
71.272,-156.712,385ab0b1,A4CBF9,192,1075,150,,B350,N408SR,1734236891,BRW,,,,0,1408,N408SR,
70.24,-156.343,3859dbcb,,340,28825,440,,LJ45,,1734236891,,,,,0,-2944,LJ45,
70.233,-150.5,385a6452,A11B2C,89,1500,60,,P68,N170WL,1734236862,SCC,,WWF170,WW,0,0,WWF170,
70.185,-150.029,385a93be,A57499,271,1000,180,,PA31,N4501B,1734236883,NUI,,,,0,0,N4501B,
69.212,-72.475,385a4b2a,896452,63,33000,485,,B77W,A6-EQC,1734236890,SEA,DXB,EK230,EK,0,0,UAE93Q,UAE
69.046,-51.983,385a456c,46DACE,92,45000,521,,GLF6,SX-VVN,1734236893,BFI,ATH,AEW6508,AE,0,64,AEW6508,AEW
69.892,21.737,385aadae,47885F,267,16000,249,,BE20,LN-BSE,1734236895,ALF,,,,0,0,BNOE,INR
74.015,35.166,3859e862,8015A8,301,34000,446,,B77W,VT-AEN,1734236892,BOM,JFK,AI119,AI,0,0,AIC119,AIC
73.906,37.867,385a0248,8004E0,309,32000,465,,B77W,VT-ALR,1734236895,DEL,YYZ,AI187,AI,0,0,AIC187,AIC
69.784,47.453,385a0178,80159E,313,34000,466,,B77W,VT-AEO,1734236892,BOM,EWR,AI191,AI,0,0,AIC191,AIC
69.089,50.92,385a21bc,896453,330,32000,473,,B77W,A6-EQD,1734236892,DXB,DFW,EK221,EK,0,0,UAE221,UAE
69.374,85.26,385a66dc,151E26,83,15100,348,,B738,RA-73254,1734236897,DME,NSK,Y7403,Y7,0,-1344,TYA403,TYA
69.434,86.524,385a6422,151E28,76,7675,309,,B738,RA-73256,1734236896,DME,NSK,Y7101,Y7,0,-1024,TYA101,TYA
69.256,86.63,385ab192,151E25,262,8825,313,,B738,RA-73253,1734236897,NSK,DME,Y7104,Y7,0,3392,TYA104,TYA
68.573,89.937,385999a9,780204,147,35000,475,,B77W,B-KPD,1734236897,JFK,HKG,CX831,CX,0,0,CPA831,CPA
62.442,-173.852,385a3a72,867FAC,42,33000,511,,B77W,JA733J,1734236899,HND,CDG,JL45,JL,0,0,JAL45,JAL
63.524,-171.545,385a38a2,86DCC4,45,39000,507,,B788,JA841J,1734236899,HND,HEL,JL47,JL,0,-64,JAL47,JAL
62.583,-164.75,385a86b6,A00FCC,24,1100,140,,C208,N1029Y,1734236862,BET,EMK,,,0,0,N1029Y,
66.89,-162.599,385a97ff,A72841,90,0,0,,DC3,N560PT,1734236895,AIN,OTZ,DAZ10,DA,1,0,DAZ10,
65.508,-157.105,385a11ba,ABB325,257,34025,482,,B748,N853GT,1734236899,CVG,NRT,D0977,D0,0,0,PAC977,DHK
62.901,-152.926,385aa05e,A8881E,135,35000,478,,E75L,N649QX,1734236898,OTZ,ANC,AS2100,AS,0,0,QXE2100,ASA
62.245,-152.49,385a9e8a,A7F286,116,36425,473,,B737,N611AS,1734236899,OME,ANC,AS155,AS,0,-3584,ASA155,ASA
63.954,-151.358,385a9ad4,A6B52A,344,28000,216,,BE20,N531LM,1734236898,ANC,BRW,,,0,-128,N531LM,
62.372,-150.481,385a9710,A7E151,179,24475,424,,B737,N607AS,1734236899,BRW,ANC,AS9231,AS,0,-2304,ASA9231,ASA
64.753,-149.572,385a99ed,ABC5AC,4,26000,242,,BE20,N858GF,1734236899,ANC,SCC,,,0,64,N858GF,
64.063,-148.499,385a9f11,A88467,15,12000,308,,E75L,N648QX,1734236899,ANC,FAI,AS2408,AS,0,-1536,QXE2408,ASA
67.955,-142.67,385a2fed,781FC4,271,30000,547,,B77L,B-223S,1734236881,ORD,PVG,CAO8444,CA,0,0,CAO8444,CAO
66.33,-137.27,385a3484,A4C3E4,290,38000,487,,B744,N406KZ,1734236898,ORD,ICN,5Y4303,5Y,0,0,GTI4303,GTI
61.282,-135.541,385a7557,781F4C,93,31000,513,,B77L,B-223N,1734236898,ANC,JFK,CSG2545,CS,0,0,CSG2545,CSG
61.415,-111.255,385a6437,7804C7,306,32000,459,,B77L,B-2072,1734236900,ORD,SZX,CZ436,CZ,0,0,CSN436,CSN
61.78,-108.014,385a5c70,4D0101,103,33000,525,,B748,LX-VCB,1734236899,ANC,JFK,CV5046,CV,0,0,CLX51Y,CLX
61.894,-97.095,385a7617,C01734,60,33000,565,,B77W,C-FIUL,1734236900,YVR,LHR,AC860,AC,0,0,ACA860,ACA
66.844,-80.86,385a3f4a,89647E,64,34996,499,,A388,A6-EUT,1734236899,SFO,DXB,EK226,EK,0,0,UAE41P,UAE
66.945,-80.212,385a3835,896473,56,36004,504,,A388,A6-EUI,1734236897,LAX,DXB,EK216,EK,0,0,UAE37V,UAE
61.521,-77.824,385a4462,394A09,64,33000,516,,B77W,F-GSQJ,1734236899,LAX,CDG,AF23,AF,0,0,AFR23K,AFR
62.418,-73.54,385a3fc6,3C4B35,74,35000,529,,B748,D-ABYU,1734236897,SFO,FRA,LH455,LH,0,0,DLH455,DLH
65.157,-68.82,385a2db7,06A120,72,35000,520,,A35K,A7-AND,1734236900,LAX,DOH,QR740,QR,0,0,QTR99Y,QTR
65.742,-66.707,385a4dba,06A2B7,81,33000,506,,B77W,A7-BES,1734236897,SEA,DOH,QR720,QR,0,0,QTR29N,QTR
61.391,-65.847,385a30cb,,85,41000,507,,FA7X,,1734236899,,,,,0,0,FA7X,
64.181,-65.506,385a43a1,484411,86,37625,514,,A332,PH-AOC,1734236892,YVR,AMS,KL682,KL,0,384,KLM226,KLM
66.841,-64.813,385a608c,C023C8,82,36975,519,,B789,C-FNOH,1734236897,YYC,LHR,AC850,AC,0,0,ACA850,ACA
64.123,-54.953,385a598c,4CC53A,65,38000,480,,B38M,TF-ICL,1734236901,DTW,KEF,FI872,FI,0,128,ICE32U,ICE
63.319,-54.49,385a257d,06A127,96,35000,519,,A35K,A7-ANK,1734236901,SFO,DOH,QR738,QR,0,0,QTR62P,QTR
65.092,-53.884,385a1ad7,4CADCA,91,39000,500,,A339,EI-HJS,1734236901,SFO,FCO,AZ641,AZ,0,-256,ITY641,ITY
65.069,-52.379,385a3a8a,3C66C3,92,40325,520,,A359,D-AIVC,1734236902,DEN,MUC,LH481,LH,0,704,DLH481,DLH
67.028,-50.98,385a379d,3C64EE,93,37000,488,,A343,D-AIGN,1734236901,SEA,FRA,LH491,LH,0,0,DLH491,DLH
64.069,-43.975,385a0534,A21DC4,90,33000,515,,B77W,N2352U,1734236899,SFO,FRA,UA58,UA,0,0,UAL58,UAL
66.511,-39.241,3859e916,4CC510,100,35000,466,,B38M,TF-ICU,1734236901,SEA,KEF,FI680,FI,0,0,ICE680,ICE
63.983,-39.044,385a27f5,3C64EF,92,36000,490,,A343,D-AIGO,1734236899,YVR,FRA,LH493,LH,0,0,DLH493,DLH
65.013,-38.47,385a1d42,4CC2A5,90,38000,498,,B752,TF-FIR,1734236901,PDX,KEF,FI664,FI,0,0,ICE664,ICE
64.052,-38.128,385a038a,4BB0EC,87,37000,522,,A359,TC-LGL,1734236901,LAX,IST,TK180,TK,0,0,THY12E,THY
64.837,-37.602,3859f0ea,4CC530,89,35000,487,,B38M,TF-ICP,1734236902,DEN,KEF,FI670,FI,0,0,ICE670,ICE
62.952,-34.157,385a22bf,39CF07,114,41000,523,,A359,F-HTYH,1734236899,SEA,CDG,AF367,AF,0,0,AFR367,AFR
63.356,-32.779,385a1807,A4B470,104,38000,509,,A339,N402DX,1734236901,SEA,AMS,DL142,DL,0,64,DAL142,DAL
65.78,-32.177,385a1d28,4CC573,107,37000,489,,B38M,TF-ICF,1734236901,YVR,KEF,FI696,FI,0,0,ICE50G,ICE
63.786,-32.037,385a360b,4CC561,81,36975,517,,A20N,TF-PPC,1734236901,BWI,KEF,OG102,OG,0,64,FPY410,FPY
64.762,-27.013,3859e1fe,4BA949,101,35000,529,,B77W,TC-JJI,1734236902,SFO,IST,TK290,TK,0,0,THY4MS,THY
62.427,-27.001,385a39b5,C0583A,94,39000,541,,A333,C-GHKR,1734236901,YYZ,VIE,AC886,AC,0,0,ACA886,ACA
63.987,-22.593,385a9f2d,4CC08B,177,0,19,,GRND,,1734236901,,,,,1,0,SNOWKING,
63.985,-22.538,385a3d88,4CC56E,270,1475,107,,A20N,TF-PPF,1734236901,SWF,KEF,OG122,OG,0,-640,FPY846,FPY
63.422,-11.225,38592a74,394A06,128,37000,550,,B77W,F-GSQG,1734236901,HND,CDG,AF293,AF,0,0,AFR293,AFR
62.231,-8.605,385937d4,86DD2A,167,41000,466,,B788,JA844J,1734236897,HND,LHR,JL41,JL,0,0,JAL41,JAL
62.073,-5.58,385a203d,478F47,89,39000,559,,A333,LN-RKN,1734236903,EWR,ARN,SK904,SK,0,0,SAS904,SAS
61.376,-1.609,3859ea18,4A91B3,102,35000,549,,A21N,SE-DMS,1734236902,BOS,CPH,SK928,SK,0,64,SAS928,SAS
66.083,11.468,385a29df,7380C0,333,33975,408,,B789,4X-EDA,1734236902,TLV,LAX,LY5,LY,0,-64,ELY005,ELY
66.978,13.68,385aab9c,47888D,23,9525,282,,BE20,LN-BSC,1734236903,SSJ,BOO,,,0,-1664,BNOB,INR
